GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.3,BGD.3.10.7_1,390583.0759,278,1404.975093
BGD,BGD.3,BGD.3.10.8_1,454122.3966,319,1423.581181
BGD,BGD.3,BGD.3.10.9_1,883225.0795,378,2336.574284
BGD,BGD.3,BGD.3.10.10_1,452316.8653,329,1374.823299
BGD,BGD.3,BGD.3.10.11_1,650329.8641,568,1144.946944
BGD,BGD.3,BGD.3.10.12_1,468470.6525,337,1390.120631
BGD,BGD.3,BGD.3.11.1_1,472748.1631,182,2597.51738
BGD,BGD.3,BGD.3.11.2_1,472862.5375,60,7881.042291
BGD,BGD.3,BGD.3.11.3_1,1650016.602,100,16500.16602
BGD,BGD.3,BGD.3.11.4_1,610356.3317,183,3335.280501
BGD,BGD.3,BGD.3.11.5_1,572246.916,179,3196.910146
BGD,BGD.3,BGD.3.12.1_1,242901.6712,123,1974.810335
BGD,BGD.3,BGD.3.12.2_1,312860.1069,196,1596.225035
BGD,BGD.3,BGD.3.12.3_1,808075.247,220,3673.069304
BGD,BGD.3,BGD.3.12.4_1,261849.0101,97,2699.474331
BGD,BGD.3,BGD.3.12.5_1,590729.871,318,1857.641104
BGD,BGD.3,BGD.3.12.6_1,374306.8353,214,1749.097361
BGD,BGD.3,BGD.3.13.1_1,150883.451,189,798.3251378
BGD,BGD.3,BGD.3.13.2_1,214602.7922,231,929.0164165
BGD,BGD.3,BGD.3.13.3_1,246859.4803,280,881.6410011
BGD,BGD.3,BGD.3.13.4_1,297071.1361,380,781.7661477
BGD,BGD.3,BGD.3.13.5_1,305522.2649,305,1001.712344
BGD,BGD.3,BGD.3.13.6_1,117179.4339,291,402.6784671
BGD,BGD.3,BGD.3.13.7_1,171517.2131,230,745.7270137
BGD,BGD.3,BGD.3.13.8_1,179880.5261,241,746.3922244
BGD,BGD.3,BGD.3.13.9_1,430107.378,335,1283.902621
BGD,BGD.3,BGD.3.13.10_1,311291.7661,318,978.9049247
